"","N_coeff","slope_mq","RMSD_mq","MAD_mq","R2_mq","slope_mc","RMSD_mc","MAD_mc","R2_mc","slope_mT","RMSD_mT","MAD_mT","R2_mT","slope_cq","RMSD_cq","MAD_cq","R2_cq"
"20150603 08:30",2040,0.000936048972299225,0.000825090340104032,0.00032664584220186,0.696262167942626,-7.10408576882789e-05,0.000924342939455201,0.000317026236398914,0.618791882347027,0.00257192939100726,0.000916294634813882,0.000349551610733848,0.625401381843239,-13.54743024753,4.83268960275334,1.12115868078048,0.889022533168175
"20150603 09:00",2044,0.000817135200219041,0.000956335835553763,0.00036010320964419,0.692936357524485,-5.04108601343594e-05,0.000937798595516152,0.00035671021368438,0.704724989501688,0.00189358037176344,0.00108399921610821,0.000378259175794346,0.605483225331696,-16.3351837694583,10.2157986536552,1.19844690994744,0.794761946924338
"20150603 09:30",2044,0.00068157564635883,0.000999046756126491,0.000367658150806176,0.671721291021133,-3.98563546630803e-05,0.00106641232556627,0.00038384347601625,0.625957112643415,0.00171089723893246,0.00113206748996907,0.00037526119885125,0.578482386890601,-16.9294157924684,4.54614017450823,1.17554554743807,0.968791483001812
"20150605 10:30",1022,0.000343351266757949,0.00180947985202246,0.000624240968517147,0.672546532021847,-3.11646929183506e-05,0.00191446614105966,0.000663112527865697,0.633446415674278,0.000466804960914849,0.0032095587755132,0.00119396806580273,-0.0302265956744465,-10.8126749161785,12.5744280009641,2.92974135357871,0.957816367740515
"20150605 17:00",1020,0.000547223668882138,0.00226115537842548,0.00119895919854501,0.797480212945471,-9.37351074355379e-05,0.00249122932580932,0.00125914950880599,0.754170462410159,-0.00290824347814862,0.00518107675152842,0.00232127115260359,-0.0632776883729944,-5.65314291317704,4.85352262955109,1.78961479996021,0.987317471516122
"20150605 18:30",2040,0.00107454605635379,0.00171204430140055,0.000851582067823356,0.902590405371057,-0.0002343614039278,0.00177841980183671,0.000934021835262927,0.894890901820236,-0.00772459082178115,0.00386894726308922,0.0010874242890899,0.502540923696838,-4.46712152590639,2.50518847961071,0.836186728043168,0.982531131904288
"20150606 10:30",2040,0.000736859077705307,0.0010833579971065,0.000564303737481955,0.836494306515477,-5.2452541045522e-05,0.00112371314064999,0.000585081561893336,0.82408623977527,0.00295229018580308,0.00137712419328621,0.000624866603110076,0.735798603436631,-13.6385914488426,3.99433921859526,1.4507637315355,0.990021229582429
"20150607 10:30",2040,0.000864435269398055,0.00130721532315729,0.000570010007126189,0.884156739331775,-7.37997668057339e-05,0.00158749161581127,0.000618654928562878,0.829156132696784,-0.000381207778195489,0.003895859630691,0.00157726620826087,-0.0289235668498007,-11.4894300590681,6.22811559465406,1.5602803734208,0.976952911245985
"20150607 16:30",2044,0.000897269065766936,0.00305921663068451,0.00132299005595376,0.818006654582219,-0.000124144156692836,0.00418246883204059,0.00138798898710289,0.659826505230788,-0.00595204691233189,0.00511127227582442,0.00171592413706934,0.491965649573104,-7.14911653962786,13.0538950674608,1.80166404409394,0.908621838712666
"20150609 13:30",1022,0.000692481034238325,0.0114027902243988,0.00222307409624614,0.495978524973416,-0.000109828592021022,0.0134377994185795,0.00221678535925485,0.300024112311339,-0.00334465218578893,0.0125019521951296,0.00366338003206729,0.394125827824963,-4.53172420485513,23.0050841093809,4.88747729435099,0.804869247885368
"20150610 15:30",2040,0.00116820177029536,0.00261689986757492,0.00176174894028013,0.900481883719585,-0.000175457054177631,0.00252856603288656,0.00178782676949818,0.907086988706849,-0.00659473022714622,0.00435886240024946,0.00196206331645024,0.723895010091647,-6.67573100296993,4.11780927867277,1.29477496975116,0.990289001549644
"20150611 11:00",2040,0.00131778193618724,0.00178037561948116,0.000926080480382613,0.930564108511444,-0.000111373180968176,0.00191064912657726,0.000969761543007992,0.920030824342846,0.00867178047922973,0.00362674731180351,0.0022491887848181,0.711865451811321,-11.6630990506987,6.30558021450172,1.62595645941233,0.98614546366021
"20150612 04:00",4088,0.0157245808811318,0.00154038097294923,0.00103664782548054,0.907545214964898,0.000861920096419239,0.00158593165577531,0.00110043587943791,0.901996398006725,-0.00813702298443301,0.00123901838583604,0.000755429099049583,0.940182452376208,17.8079657698723,0.914900789161411,0.324384998885492,0.971861909970508
"20150612 09:30",4080,0.0016457536218273,0.00102353990856968,0.00042441384381178,0.894085280926146,-0.000130237668453949,0.00121362033816504,0.000517993481435183,0.851093913848281,0.00763553430259943,0.00263727597664239,0.00116894933353952,0.296833916962008,-12.169774184107,3.68858710427131,2.26567669229772,0.965569349869804
"20150612 11:00",4088,0.00119821688512796,0.00186165482433583,0.00063630720405084,0.806226460205717,-0.000112327628580814,0.00193394443663674,0.00066712500585258,0.790885505006813,0.00305933674063243,0.0042216906390442,0.00156834807988352,0.0035191347025475,-10.5946080802073,4.34010077118854,1.13144388444898,0.978919361739199
"20150612 12:30",2040,0.00133781655560772,0.00294272486693412,0.00126288397005448,0.84009210352844,-0.000147550976933465,0.00379914045754191,0.00151036334543031,0.733472950169751,-0.00510423869976471,0.00826007699545091,0.00287021956373783,-0.259907853560282,-9.26641865331615,9.52479586593719,2.42079958884636,0.953651389071785
"20150615 07:30",2040,0.00639333683286973,0.00445051429557517,0.00190679733135352,0.655431870373775,-0.000315759827366173,0.00494770546977854,0.00198230709562255,0.574144380730466,0.0150258391496393,0.00787871040651553,0.00295624763784857,-0.0798538475050059,-19.2373643964546,5.37842914485489,1.33830205325174,0.913163350563736
"20150615 14:00",2040,0.00152893136270885,0.00397486058034182,0.00173954219992331,0.814468442179377,-0.000167087906412075,0.0048545551706745,0.00192484009452296,0.723259403385643,-0.0068679954974516,0.0088322029698872,0.00250876838984163,0.0839649896965892,-8.35902590107856,11.1616765040228,2.53123280030289,0.940634034121896
"20150616 09:30",2040,0.00194936606233461,0.00157265512080911,0.00101332719798666,0.926101761849397,-0.000153238616702842,0.00158574205808459,0.00106221735862837,0.924866747904419,0.0106564244712781,0.00443345604964023,0.00226318144820394,0.412710937879265,-13.060109868077,3.83709727778479,1.39507865862876,0.988334829984715
"20150616 11:00",2040,0.0014053630080987,0.00205481402914494,0.00144886804619124,0.92305754846976,-0.000133609477260734,0.00213321820630657,0.0014686586950914,0.917073843222314,0.00934963215763183,0.00536762978623874,0.00280557828133405,0.474967625441287,-10.5159070290156,8.57245896925051,1.9907033792944,0.972182960568711
"20150616 12:30",2040,0.00138082721298991,0.00373745638278175,0.00174939517514638,0.846424836908655,-0.00016332650176789,0.00423540726581915,0.0019184761098747,0.802776312855199,-0.00604747736125546,0.0100503687357867,0.00404124085033998,-0.110536176926366,-8.4028048523448,7.51089438738611,2.17816001601688,0.974569914563393
"20150616 16:30",4088,0.00172676726782195,0.00211689249927836,0.00118337430398452,0.864551022941243,-0.000252638364851695,0.00235768088302339,0.00119166180954284,0.831984957763509,-0.00610702888464035,0.00415576896673701,0.00113674089584308,0.477987488026346,-6.79926281884236,4.42095324731462,0.850787431902929,0.961237602204613
"20150617 08:00",2044,0.00379302565004734,0.00670059360069367,0.00254345012678485,0.718652559012474,-0.000235649776432264,0.00880863384827472,0.00267086856335701,0.513779205489209,0.0229748207094653,0.0138241345082755,0.00342071162144493,-0.197546303468552,-15.3474158389096,12.9694701877913,2.2020314280768,0.873436722118972
"20150617 08:30",2040,0.00267808939281614,0.00300404385144856,0.00188304292934454,0.856432646969647,-0.000191011539699488,0.00308992049929394,0.00197154274321522,0.848106996959372,0.0216215467438424,0.00678642390671159,0.00324524795068138,0.267301799113124,-13.7658257395288,5.18804599318701,1.39809987319452,0.97815838099649
"20150617 12:00",4088,0.00139804097756775,0.00187786813575918,0.00109039194018242,0.853504844153022,-0.000147735773608126,0.00197521565763772,0.00109537068645482,0.837922728165332,-0.00700520501002358,0.00498024454505052,0.00137492095432433,-0.0303728710118039,-9.18364470104093,6.29862227502442,1.22262613554109,0.959078320017182
"20150617 14:30",4080,0.00152414357403107,0.00203350093653674,0.00128132992945718,0.862653830601303,-0.000190549976303578,0.00203281297102546,0.00126781906101195,0.862746747641391,-0.00783799238134076,0.00423483306851196,0.00160552123146131,0.404337322558651,-7.98353143883075,3.55863423485725,0.900210471397701,0.980787156823135
"20150617 17:30",2040,0.00458657984194152,0.00468897218547261,0.00306576479628108,0.801549004573623,-0.000771783207957824,0.0053427274165282,0.00324565778777512,0.742353644823376,-0.00871226080945658,0.00453803431050524,0.0025400878817095,0.814119634068688,-5.42376974500851,2.91823315996769,1.2477217278111,0.946975788344073
"20150618 13:00",4080,0.00212580226127645,0.000921851712375,0.000552943340891903,0.835631858701106,-0.00012787447094385,0.000889343555304332,0.000553621838831701,0.847020007548064,-0.00950614747846966,0.0014014043782249,0.000690178119369626,0.620140973789728,-16.4864641962079,2.33406336007776,0.862986509167432,0.978164364490816
"20150619 10:00",8160,0.00126735267431217,0.00038490801991885,0.000247840507443956,0.842955147472391,-8.32492190024003e-05,0.000359032081444157,0.000247052546253859,0.863360488868175,0.0019623851922752,0.000941238526091177,0.000480732766578515,0.0609057616712709,-15.3288873430628,1.60053274518953,0.979744465246027,0.977539886973302
"20150619 15:00",4088,0.00135634053559052,0.00115703379064294,0.000549515519942118,0.829574708723927,-7.74842989889233e-05,0.00106967658899239,0.000539303560312103,0.854337774265037,0.00536623509329193,0.00275764304682246,0.0012151307737381,0.0319048163138582,-17.6302165521649,4.65239444245728,1.51869269847972,0.981368316400002
"20150620 12:30",4080,0.00103641233352197,0.000860055283146951,0.000445977453869439,0.917952880653004,-9.65621930531054e-05,0.000891615454640822,0.000449840844357445,0.911820876629023,-0.004653920730786,0.00328869790827046,0.00123058815985332,-0.199661070112346,-10.7951129202181,2.95082386907363,0.862917277968382,0.989534803649142
"20150620 13:30",4080,0.000961856519547474,0.000786532182196239,0.000441948790467881,0.918209106342455,-0.000104486297401241,0.000770353514646659,0.000440883383859319,0.921539314948138,-0.00643306729742882,0.0019599758514667,0.000710759067526364,0.492105628385689,-9.26037380169131,2.91854844511807,0.86196038847557,0.986162099730609
"20150621 11:30",4088,0.00123186677198565,0.00150328741992546,0.000689879014768265,0.776152287610648,-9.63657836376485e-05,0.00318199731768273,0.000649980266206049,-0.00292448151648306,-0.00560394408501407,0.0025162121059231,0.000987747360287899,0.372862010820858,-13.2149279914662,28.0417360762263,1.51459673354699,0.543238765518334
"20150621 15:00",2040,0.00243244830605526,0.0024966490554236,0.00146804948607316,0.915198557518058,-0.000190843345894354,0.00260964174353306,0.0015948994671906,0.907349018993195,-0.01460676084769,0.00525192839528543,0.00207058172683005,0.624745565356046,-12.2794923322343,4.91380713365936,1.66321926863592,0.986490731730325
"20150621 16:30",2044,0.00462879402548272,0.00381401118179359,0.00194464592250735,0.914015957664824,-0.000592070376398422,0.00491956946020223,0.0020690648952914,0.856943324477439,-0.0173304174442872,0.00847564788280914,0.00273598105129378,0.575380684076669,-7.86217909591719,4.87877611969045,1.37470731487364,0.94105769848619
"20150622 16:30",4080,0.00157903700694423,0.000960212915731935,0.000591433526556963,0.937875649165426,-0.000201246319921982,0.000960858296771964,0.000641967621172085,0.937792110709524,-0.00553289254944428,0.00174268908497982,0.000699909901699071,0.795371274588597,-7.77924501287553,2.51142405726549,1.60180643600171,0.981360680910679
"20150623 15:00",4088,0.00102857107610883,0.00199636992850049,0.00113528320461304,0.827546973296802,-0.000126112914336624,0.00196974917797414,0.0011343477683084,0.832115485928232,-0.00620800370247394,0.00428416512829247,0.00137831929709372,0.205815903821286,-8.051304704841,3.46090401126177,0.896946779259978,0.989497671761965
"20150626 08:30",4088,0.00313164255916079,0.00130572375569205,0.000777960755128108,0.92700983792325,-0.000209980712944051,0.00145223104115206,0.000853515406016332,0.909711352402208,0.0110494891537456,0.00239332736665291,0.00141768529436067,0.754774329545855,-14.8204647919211,2.28622281677464,0.865443793416483,0.988448377047656
"20150626 16:00",4080,0.00158524970106905,0.00184145968265029,0.000915428954077379,0.867684488622407,-0.000222997398646899,0.0021478702618338,0.000940303353400874,0.819987600791058,-0.00586641875660039,0.00258196420814282,0.00111848955816795,0.73987220150475,-6.9748785835893,3.03684512453516,0.834630065549586,0.974024956135867
"20150626 17:30",4080,0.00224975646653243,0.00132266115115728,0.00075113836650472,0.928194834838423,-0.000365199898076021,0.00152650450727828,0.000790342439835976,0.904356673649388,-0.00591733185404963,0.00194727682506779,0.000851091242403764,0.84436263103813,-6.06950681372328,1.85045932858128,0.731381530650611,0.980251841658668
"20150628 10:00",511,0.00110713311397453,0.00807194484690042,0.00291247660375867,0.594188939388348,-9.64316186674164e-05,0.0117059654381655,0.00324515492448907,0.146542335041057,0.00415412957587481,0.0148096332471502,0.0045198177568938,-0.366017035011965,-11.225467788019,62.3367264327394,13.0782142639566,0.679465530694935
"20150628 10:30",1020,0.000946823358013469,0.00411386953116578,0.00175427540020536,0.804315542470191,-9.15891354448863e-05,0.0049339923551849,0.00191259472996031,0.718516949598343,0.00384686018514505,0.00680091480155541,0.0028152513463081,0.465201755751225,-9.77926441186841,25.939779771883,10.3016088357336,0.875332224296986
"20150629 11:30",4080,0.00104386910567703,0.000917262593686446,0.000644874489815847,0.903421345357991,-9.84245318747161e-05,0.000924239969456203,0.000638375527616813,0.90194646013175,-0.00645227434461778,0.00294681075963664,0.00105943478114552,0.00322237932213087,-10.230380342065,3.65786655608516,1.15516609934808,0.981907559071198
"20150629 12:00",4080,0.000937863940029422,0.000893187375174669,0.000641081061038575,0.894842757911212,-0.000101668053262733,0.000856692599587844,0.000639881053946288,0.903260449201744,-0.00714817433855893,0.00236935455754903,0.000976507059679971,0.260029944688635,-9.12240507170097,3.2664600991529,0.856110211875714,0.982123637415907
"20150629 14:00",4088,0.000948409313377974,0.00224980188060187,0.00088397681070017,0.754436114870063,-0.000118193928411207,0.00205173869246939,0.000868375391235312,0.795769762610108,-0.00380588397138134,0.00410039979340705,0.00126071894760959,0.184303965779245,-8.07729160575131,6.02096932077205,1.44080975111985,0.958033711812253
"20150630 08:00",2040,0.00509890195602758,0.0024907943788401,0.00111841111767611,0.84495519012656,-0.000230570000908949,0.00296588713242445,0.00116552731088272,0.78016809744767,0.0119436910049916,0.00378531480615081,0.00189145578285762,0.641915530269146,-21.8611317086075,7.39457560208528,1.46361252003091,0.89035813558193
